,Address,Date,Time,Temperature,Relative Humidity,Cloud Cover,Sea Level Pressure
0,"Delhi, India",01/01/2015,1:00:00,48.4,95.5,47.1,1016.9
1,"Delhi, India",01/01/2015,2:00:00,48.4,95.5,47.1,1016.9
2,"Delhi, India",01/01/2015,3:00:00,48.3,100.0,30.0,1016.7
3,"Delhi, India",01/01/2015,4:00:00,49.4,97.425,59.85,1016.5999999999999
4,"Delhi, India",01/01/2015,5:00:00,50.5,94.85,89.7,1016.3
5,"Delhi, India",01/01/2015,6:00:00,50.0,100.0,88.9,1016.4499999999999
6,"Delhi, India",01/01/2015,7:00:00,51.8,100.0,88.9,1017.175
7,"Delhi, India",01/01/2015,8:00:00,52.0,94.88,89.7,1017.9
8,"Delhi, India",01/01/2015,9:00:00,55.5,94.315,69.85,1017.5374999999999
9,"Delhi, India",01/01/2015,10:00:00,59.0,93.75,50.0,1018.11875
10,"Delhi, India",01/01/2015,11:00:00,63.6,71.05,57.2,1018.7
11,"Delhi, India",01/01/2015,12:00:00,64.4,82.63,50.0,1018.409375
12,"Delhi, India",01/01/2015,13:00:00,68.0,60.0,50.0,1017.2046875
13,"Delhi, India",01/01/2015,14:00:00,68.8,55.2,57.2,1016.0
14,"Delhi, India",01/01/2015,15:00:00,69.8,52.8,50.0,1016.60234375
15,"Delhi, India",01/01/2015,16:00:00,69.8,49.4,50.0,1016.251171875
16,"Delhi, India",01/01/2015,17:00:00,66.9,61.04,78.7,1015.9
17,"Delhi, India",01/01/2015,18:00:00,68.35,55.22,64.35,1016.0755859374999
18,"Delhi, India",01/01/2015,19:00:00,62.875,65.88,67.925,1016.9377929687499
19,"Delhi, India",01/01/2015,20:00:00,57.4,76.54,71.5,1017.8
20,"Delhi, India",01/01/2015,21:00:00,57.2,67.14,50.0,1017.368896484375
21,"Delhi, India",01/01/2015,22:00:00,55.4,76.68,50.0,1018.0844482421875
22,"Delhi, India",01/01/2015,23:00:00,53.8,88.03,14.1,1018.8
23,"Delhi, India",01/02/2015,0:00:00,53.6,81.88,50.0,1018.4422241210937
24,"Delhi, India",01/02/2015,1:00:00,55.4,76.68,50.0,1018.1711120605469
25,"Delhi, India",01/02/2015,2:00:00,55.8,86.88,14.1,1017.9
26,"Delhi, India",01/02/2015,3:00:00,55.4,82.01,50.0,1018.0355560302735
27,"Delhi, India",01/02/2015,4:00:00,55.4,82.01,50.0,1017.6677780151367
28,"Delhi, India",01/02/2015,5:00:00,56.8,89.43,85.9,1017.3
29,"Delhi, India",01/02/2015,6:00:00,57.2,82.13,50.0,1017.4838890075683
30,"Delhi, India",01/02/2015,7:00:00,57.75,88.60499999999999,73.45,1018.4419445037842
31,"Delhi, India",01/02/2015,8:00:00,58.3,95.08,96.9,1019.4
32,"Delhi, India",01/02/2015,9:00:00,57.2,87.75,88.9,1018.9209722518921
33,"Delhi, India",01/02/2015,10:00:00,59.0,82.26,88.9,1019.510486125946
34,"Delhi, India",01/02/2015,11:00:00,59.8,95.11,96.9,1020.1
35,"Delhi, India",01/02/2015,12:00:00,59.0,87.84,88.9,1019.805243062973
36,"Delhi, India",01/02/2015,13:00:00,59.05,93.92,93.35,1018.4026215314865
37,"Delhi, India",01/02/2015,14:00:00,59.1,100.0,97.8,1017.0
38,"Delhi, India",01/02/2015,15:00:00,58.9,100.0,88.0,1017.7013107657433
39,"Delhi, India",01/02/2015,16:00:00,59.0,99.08500000000001,92.45,1017.5506553828716
40,"Delhi, India",01/02/2015,17:00:00,59.1,98.17,96.9,1017.4
41,"Delhi, India",01/02/2015,18:00:00,57.1,100.0,100.0,1017.4753276914357
42,"Delhi, India",01/02/2015,19:00:00,57.1,100.0,88.0,1017.7876638457178
43,"Delhi, India",01/02/2015,20:00:00,57.7,98.42,97.8,1018.1
44,"Delhi, India",01/02/2015,21:00:00,57.1,100.0,88.0,1017.9438319228589
45,"Delhi, India",01/02/2015,22:00:00,57.1,100.0,88.0,1018.0219159614294
46,"Delhi, India",01/02/2015,23:00:00,58.1,95.85,100.0,1018.1
47,"Delhi, India",01/03/2015,0:00:00,57.1,100.0,100.0,1018.0609579807146
48,"Delhi, India",01/03/2015,1:00:00,57.2,100.0,100.0,1017.6804789903573
49,"Delhi, India",01/03/2015,2:00:00,58.0,98.62,100.0,1017.3
50,"Delhi, India",01/03/2015,3:00:00,57.6,99.31,100.0,1017.4902394951787
51,"Delhi, India",01/03/2015,4:00:00,57.2,100.0,100.0,1016.9451197475894
52,"Delhi, India",01/03/2015,5:00:00,58.0,97.25,28.2,1016.4
53,"Delhi, India",01/03/2015,6:00:00,57.2,100.0,100.0,1016.6725598737946
54,"Delhi, India",01/03/2015,7:00:00,57.2,100.0,100.0,1015.3362799368973
55,"Delhi, India",01/03/2015,8:00:00,57.6,98.62,87.6,1014.0
56,"Delhi, India",01/03/2015,9:00:00,57.2,100.0,56.1,1014.6681399684487
57,"Delhi, India",01/03/2015,10:00:00,59.05,95.205,71.0,1016.9340699842244
58,"Delhi, India",01/03/2015,11:00:00,60.9,90.41,85.9,1019.2
59,"Delhi, India",01/03/2015,12:00:00,60.8,82.39,88.9,1018.0670349921122
60,"Delhi, India",01/03/2015,13:00:00,62.6,77.31,88.9,1017.6335174960561
61,"Delhi, India",01/03/2015,14:00:00,62.4,81.76,96.9,1017.2
62,"Delhi, India",01/03/2015,15:00:00,60.8,77.15,88.9,1017.4167587480281
63,"Delhi, India",01/03/2015,16:00:00,60.8,77.15,88.9,1017.158379374014
64,"Delhi, India",01/03/2015,17:00:00,60.9,87.17,96.9,1016.9
65,"Delhi, India",01/03/2015,18:00:00,59.0,82.26,88.9,1017.0291896870069
66,"Delhi, India",01/03/2015,19:00:00,58.5,87.57,85.7,1017.5645948435035
67,"Delhi, India",01/03/2015,20:00:00,58.0,92.88,82.5,1018.1
68,"Delhi, India",01/03/2015,21:00:00,55.4,93.65,88.9,1017.8322974217517
69,"Delhi, India",01/03/2015,22:00:00,55.4,100.0,88.9,1018.2661487108759
70,"Delhi, India",01/03/2015,23:00:00,56.4,98.61,57.2,1018.7
71,"Delhi, India",01/04/2015,0:00:00,53.6,100.0,50.0,1018.483074355438
72,"Delhi, India",01/04/2015,1:00:00,53.6,100.0,27.2,1018.791537177719
73,"Delhi, India",01/04/2015,2:00:00,55.2,100.0,0.0,1019.1
74,"Delhi, India",01/04/2015,3:00:00,51.8,93.55,56.1,1018.9457685888594
75,"Delhi, India",01/04/2015,4:00:00,51.8,93.55,56.1,1018.7728842944298
76,"Delhi, India",01/04/2015,5:00:00,54.8,98.17,15.8,1018.6
77,"Delhi, India",01/04/2015,6:00:00,53.6,93.6,56.1,1018.6864421472148
78,"Delhi, India",01/04/2015,7:00:00,53.6,93.6,56.1,1019.5432210736074
79,"Delhi, India",01/04/2015,8:00:00,56.4,91.49,15.8,1020.4
80,"Delhi, India",01/04/2015,9:00:00,53.6,93.6,88.9,1019.9716105368036
81,"Delhi, India",01/04/2015,10:00:00,57.2,76.84,88.9,1020.4858052684018
82,"Delhi, India",01/04/2015,11:00:00,59.4,77.09,82.5,1021.0
83,"Delhi, India",01/04/2015,12:00:00,59.0,67.35,88.9,1020.7429026342008
84,"Delhi, India",01/04/2015,13:00:00,62.6,59.28,50.0,1019.8714513171004
85,"Delhi, India",01/04/2015,14:00:00,64.5,60.96,7.7,1019.0
86,"Delhi, India",01/04/2015,15:00:00,64.4,63.62,0.0,1019.4357256585502
87,"Delhi, India",01/04/2015,16:00:00,64.4,63.62,0.0,1019.0678628292751
88,"Delhi, India",01/04/2015,17:00:00,62.4,67.4,8.5,1018.7
