,index,City,Date,Time,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,O3P24,Datetime,Temperature
0,6551,Delhi,2015-10-01,0:00:00,82.74,173.17,10.54,46.38,47.41,22.66,1.13,7.87,57.35,4.35,11.82,3.93,68.26,2015-10-01 0:00:00,80.6
1,6552,Delhi,2015-10-01,1:00:00,75.94,149.75,7.87,41.04,40.2,21.23,1.04,12.98,57.85,4.1,9.94,3.45,64.96,2015-10-01 1:00:00,80.6
2,6553,Delhi,2015-10-01,2:00:00,75.66,136.89,7.39,37.78,37.06,22.51,1.06,9.46,55.42,3.55,8.36,3.85,60.14,2015-10-01 2:00:00,76.6
3,6554,Delhi,2015-10-01,3:00:00,85.36,143.64,7.5,34.59,34.55,23.46,1.09,9.65,51.72,3.62,8.49,4.08,48.79,2015-10-01 3:00:00,75.2
4,6555,Delhi,2015-10-01,4:00:00,76.38,133.34,8.53,37.17,38.66,24.09,1.07,22.14,51.33,3.6,8.49,3.88,50.21,2015-10-01 4:00:00,71.6
5,6556,Delhi,2015-10-01,5:00:00,74.72,132.46,13.22,44.91,50.76,24.94,1.22,9.96,46.78,3.93,8.96,3.9,45.42,2015-10-01 5:00:00,71.9
6,6557,Delhi,2015-10-01,6:00:00,76.32,146.37,28.54,50.33,74.72,24.41,1.38,11.87,42.28,4.1,9.0,3.94,43.51,2015-10-01 6:00:00,69.8
7,6558,Delhi,2015-10-01,7:00:00,103.05,233.38,62.58,57.13,125.81,25.32,1.52,12.55,41.44,4.65,9.31,4.36,47.25,2015-10-01 7:00:00,73.19999999999999
8,6559,Delhi,2015-10-01,8:00:00,110.24,314.98,53.05,63.12,117.6,26.99,1.6,11.88,46.15,5.22,10.47,4.44,51.4,2015-10-01 8:00:00,76.6
9,6560,Delhi,2015-10-01,9:00:00,106.66,269.75,30.79,61.17,86.34,26.04,1.33,12.28,60.96,4.96,10.22,3.79,58.08,2015-10-01 9:00:00,78.8
10,6561,Delhi,2015-10-01,10:00:00,107.58,249.17,29.4,57.58,82.85,27.01,1.33,10.93,76.71,4.42,9.25,3.12,80.98,2015-10-01 10:00:00,84.35
11,6562,Delhi,2015-10-01,11:00:00,106.67,232.98,12.21,41.57,47.03,27.94,1.24,13.69,95.12,4.04,8.81,2.73,79.59,2015-10-01 11:00:00,89.9
12,6563,Delhi,2015-10-01,12:00:00,94.06,243.95,52.3,40.51,88.54,23.09,2.03,10.12,88.51,3.82,8.55,3.41,85.89,2015-10-01 12:00:00,91.4
13,6564,Delhi,2015-10-01,13:00:00,91.61,247.83,16.91,41.16,54.34,20.98,1.24,12.97,75.43,4.17,10.38,3.08,77.05,2015-10-01 13:00:00,93.3
14,6565,Delhi,2015-10-01,14:00:00,66.6,193.78,9.88,40.34,43.72,20.09,1.15,14.07,67.64,3.7,10.7,2.18,76.31,2015-10-01 14:00:00,95.2
15,6566,Delhi,2015-10-01,15:00:00,68.75,198.95,10.51,38.04,43.1,18.16,1.05,11.68,65.23,3.24,10.04,2.07,67.93,2015-10-01 15:00:00,95.0
16,6567,Delhi,2015-10-01,16:00:00,53.99,174.19,12.64,38.74,46.45,16.88,1.02,9.27,67.54,2.65,8.36,2.31,74.15,2015-10-01 16:00:00,95.0
17,6568,Delhi,2015-10-01,17:00:00,47.56,144.2,32.11,45.08,77.77,16.34,1.11,8.75,59.54,2.9,8.5,2.44,73.42,2015-10-01 17:00:00,92.7
18,6569,Delhi,2015-10-01,18:00:00,49.02,147.22,20.58,60.81,75.13,15.65,1.29,8.26,64.1,3.32,10.9,2.17,61.56,2015-10-01 18:00:00,89.6
19,6570,Delhi,2015-10-01,19:00:00,61.69,184.06,39.14,79.67,114.79,16.91,1.83,8.86,48.94,4.85,18.15,3.0,71.33,2015-10-01 19:00:00,87.8
20,6571,Delhi,2015-10-01,20:00:00,90.86,224.05,67.65,85.33,94.58,18.85,2.48,9.86,55.77,7.09,22.65,4.46,69.97,2015-10-01 20:00:00,81.7
21,6572,Delhi,2015-10-01,21:00:00,102.03,231.24,77.58,86.34,93.0,23.66,2.32,13.33,59.0,7.85,25.67,4.3,53.78,2015-10-01 21:00:00,84.2
22,6573,Delhi,2015-10-01,22:00:00,107.43,265.16,55.4,92.03,127.19,26.28,2.62,11.07,56.92,9.27,29.71,3.56,60.88,2015-10-01 22:00:00,82.4
23,6574,Delhi,2015-10-01,23:00:00,141.97,353.87,125.76,91.62,141.24,27.11,2.72,10.58,61.93,11.54,32.44,3.87,65.33,2015-10-01 23:00:00,78.1
24,6575,Delhi,2015-10-02,0:00:00,147.5,303.17,98.12,81.58,99.56,27.69,2.42,11.45,68.26,11.05,28.93,4.85,63.9,2015-10-02 0:00:00,78.8
25,6576,Delhi,2015-10-02,1:00:00,140.07,297.94,60.65,66.63,59.7,27.63,2.12,7.31,64.96,8.62,22.41,5.19,66.59,2015-10-02 1:00:00,78.8
26,6577,Delhi,2015-10-02,2:00:00,130.48,271.78,44.18,60.5,103.56,28.22,1.74,8.18,60.14,7.44,18.43,4.95,56.5,2015-10-02 2:00:00,75.0
27,6578,Delhi,2015-10-02,3:00:00,122.62,225.57,67.78,54.24,68.26,29.12,1.71,7.91,48.79,7.59,17.6,4.57,53.61,2015-10-02 3:00:00,75.2
28,6579,Delhi,2015-10-02,4:00:00,127.01,249.18,43.23,52.23,97.09,29.21,1.52,5.9,50.21,6.61,17.04,4.6,52.13,2015-10-02 4:00:00,69.8
29,6580,Delhi,2015-10-02,5:00:00,106.26,233.28,36.55,51.93,87.72,34.21,1.58,6.13,45.42,5.44,15.04,4.27,30.62,2015-10-02 5:00:00,70.6
30,6581,Delhi,2015-10-02,6:00:00,114.73,249.36,42.49,51.45,97.06,33.45,1.66,7.07,43.51,5.07,14.61,4.36,16.44,2015-10-02 6:00:00,69.8
31,6582,Delhi,2015-10-02,7:00:00,125.67,253.3,66.42,49.98,60.6,32.3,1.8,7.87,47.25,4.8,13.07,4.75,19.56,2015-10-02 7:00:00,71.6
32,6583,Delhi,2015-10-02,8:00:00,114.86,260.44,43.95,52.67,99.97,32.0,1.66,7.54,51.4,4.54,10.36,3.97,21.12,2015-10-02 8:00:00,77.1
