From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-10-01 0:00:00,57.35,80.6,7.87,173.17,46.38,1.13
2015-10-01 3:00:00,51.72,75.2,9.65,143.64,34.59,1.09
2015-10-01 6:00:00,42.28,69.8,11.87,146.37,50.33,1.38
2015-10-01 9:00:00,60.96,78.8,12.28,269.75,61.17,1.33
2015-10-01 12:00:00,88.51,91.4,10.12,243.95,40.51,2.03
2015-10-01 15:00:00,65.23,95.0,11.68,198.95,38.04,1.05
2015-10-01 18:00:00,64.1,89.6,8.26,147.22,60.81,1.29
2015-10-01 21:00:00,59.0,84.2,13.33,231.24,86.34,2.32
2015-10-02 0:00:00,68.26,78.8,11.45,303.17,81.58,2.42
2015-10-02 3:00:00,48.79,75.2,7.91,225.57,54.24,1.71
2015-10-02 6:00:00,43.51,69.8,7.07,249.36,51.45,1.66
2015-10-02 9:00:00,58.08,80.6,7.2,257.2,57.67,1.43
2015-10-02 12:00:00,85.89,91.4,19.08,181.71,34.96,1.08
2015-10-02 15:00:00,67.93,95.0,11.98,167.05,31.09,1.15
2015-10-02 18:00:00,61.56,87.8,8.64,166.09,44.35,1.24
2015-10-02 21:00:00,53.78,82.4,10.52,202.52,76.83,1.85
2015-10-03 0:00:00,63.9,77.0,13.06,226.67,59.23,1.75
2015-10-03 3:00:00,53.61,71.6,10.94,188.61,47.43,1.41
2015-10-03 6:00:00,16.44,69.8,10.82,226.92,32.48,1.19
2015-10-03 9:00:00,29.8,83.3,10.58,391.16,49.24,1.57
2015-10-03 12:00:00,70.6,93.2,16.84,367.49,44.99,1.35
2015-10-03 15:00:00,51.28,96.8,7.68,246.33,30.24,1.01
2015-10-03 18:00:00,56.62,91.4,12.8,195.97,56.55,1.19
2015-10-03 21:00:00,28.82,82.4,14.98,367.0,88.45,3.79
2015-10-04 0:00:00,53.33,80.6,16.59,510.44,121.57,4.16
2015-10-04 3:00:00,59.55,78.8,25.13,439.12,81.16,2.87
2015-10-04 6:00:00,33.09,71.6,6.01,349.5,54.3,1.95
2015-10-04 9:00:00,25.57,84.2,9.91,308.01,70.53,1.62
2015-10-04 12:00:00,74.46,95.0,19.38,249.95,31.37,1.06
2015-10-04 15:00:00,45.39,98.6,8.61,238.22,30.16,1.09
2015-10-04 18:00:00,46.96,91.25,15.28,147.66,58.3,1.09
2015-10-04 21:00:00,28.15,82.4,19.54,392.36,87.34,4.17
2015-10-05 0:00:00,32.63,80.6,24.75,477.6,91.52,3.86
2015-10-05 3:00:00,55.95,78.8,18.26,234.3,64.65,2.82
2015-10-05 6:00:00,34.55,73.4,14.84,244.14,53.69,2.47
2015-10-05 9:00:00,37.34,87.8,12.09,412.48,102.4,2.4
2015-10-05 12:00:00,82.79,98.6,28.9,335.7,89.64,1.87
2015-10-05 15:00:00,65.66,96.8,13.39,332.97,46.13,9.97
2015-10-05 18:00:00,36.28,93.2,11.42,274.25,67.89,1.76
2015-10-05 21:00:00,26.33,87.8,19.23,402.47,116.18,5.76
2015-10-06 0:00:00,30.0,82.4,17.89,391.51,96.44,5.36
2015-10-06 3:00:00,42.33,78.8,8.06,454.07,74.08,6.28
2015-10-06 6:00:00,25.34,75.2,8.55,349.44,53.9,1.54
2015-10-06 9:00:00,23.51,87.8,9.58,413.5,81.21,1.79
2015-10-06 12:00:00,56.06,93.2,18.03,358.53,38.07,1.2
2015-10-06 15:00:00,78.71,95.0,7.91,220.43,38.31,1.11
2015-10-06 18:00:00,54.36,89.6,12.92,201.39,67.36,1.36
