,index,City,Date,Time,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,O3P24,Datetime,Temperature
0,3623,Delhi,2015-06-01,0:00:00,52.3,237.67,6.92,57.08,58.49,35.94,8.36,14.3,96.49,1.4,2.64,2.26,38.46,2015-06-01 0:00:00,89.6
1,3624,Delhi,2015-06-01,1:00:00,45.1,141.83,10.13,64.62,69.52,33.65,6.76,10.1,54.87,1.4,3.16,2.26,34.95,2015-06-01 1:00:00,89.65
2,3625,Delhi,2015-06-01,2:00:00,42.03,153.67,5.25,31.47,30.79,33.92,6.61,9.93,71.33,1.09,2.32,2.26,32.41,2015-06-01 2:00:00,89.7
3,3626,Delhi,2015-06-01,3:00:00,54.4,244.11,4.86,27.5,27.1,33.55,8.43,8.26,108.09,0.69,1.05,2.26,46.52,2015-06-01 3:00:00,87.8
4,3627,Delhi,2015-06-01,4:00:00,36.33,104.5,4.9,24.95,23.88,33.13,3.86,6.42,80.12,0.64,1.0,2.26,34.17,2015-06-01 4:00:00,82.4
5,3628,Delhi,2015-06-01,5:00:00,42.5,169.95,4.43,21.4,18.86,37.01,3.35,8.73,92.37,0.74,1.17,2.26,41.49,2015-06-01 5:00:00,81.3
6,3629,Delhi,2015-06-01,6:00:00,65.13,334.28,3.98,24.76,22.34,37.48,4.13,9.04,97.42,0.84,1.1,2.26,22.98,2015-06-01 6:00:00,80.6
7,3630,Delhi,2015-06-01,7:00:00,36.0,114.89,4.53,32.68,29.19,38.21,4.48,9.54,47.98,0.84,1.73,2.26,20.56,2015-06-01 7:00:00,80.6
8,3631,Delhi,2015-06-01,8:00:00,34.57,87.33,8.49,44.34,46.11,38.52,6.01,9.01,45.32,0.97,2.1,2.26,24.77,2015-06-01 8:00:00,87.3
9,3632,Delhi,2015-06-01,9:00:00,41.51,94.56,8.76,41.44,45.68,37.9,4.27,6.98,87.5,1.07,2.27,2.26,50.66,2015-06-01 9:00:00,93.2
10,3633,Delhi,2015-06-01,10:00:00,34.44,130.88,9.37,46.24,52.16,35.21,3.02,7.1,74.26,1.35,2.47,2.26,75.91,2015-06-01 10:00:00,95.0
11,3634,Delhi,2015-06-01,11:00:00,50.42,157.71,9.95,45.4,55.34,31.72,4.42,10.08,73.97,1.4,3.19,2.26,75.56,2015-06-01 11:00:00,95.1
12,3635,Delhi,2015-06-01,12:00:00,51.5,158.75,10.12,46.59,53.69,31.62,2.85,9.28,69.76,1.27,3.38,2.26,72.91,2015-06-01 12:00:00,96.8
13,3636,Delhi,2015-06-01,13:00:00,46.94,151.54,12.5,43.24,50.92,34.06,6.34,13.81,73.34,1.29,6.2,2.26,65.7,2015-06-01 13:00:00,94.25
14,3637,Delhi,2015-06-01,14:00:00,55.87,218.21,13.93,36.93,47.6,30.99,4.56,11.85,74.32,1.0,5.72,2.26,54.77,2015-06-01 14:00:00,91.7
15,3638,Delhi,2015-06-01,15:00:00,40.86,216.17,12.96,32.38,42.14,31.89,5.74,10.04,69.63,0.86,3.73,2.26,87.04,2015-06-01 15:00:00,91.4
16,3639,Delhi,2015-06-01,16:00:00,77.05,378.72,23.92,49.57,74.78,32.31,6.98,10.4,106.06,1.21,3.67,2.26,65.43,2015-06-01 16:00:00,91.4
17,3640,Delhi,2015-06-01,17:00:00,41.28,172.62,24.1,58.27,81.93,32.99,6.42,9.62,55.47,1.18,3.78,2.26,81.04,2015-06-01 17:00:00,93.9
18,3641,Delhi,2015-06-01,18:00:00,35.5,149.5,19.1,75.82,91.59,31.56,8.86,8.91,57.29,1.67,6.75,2.26,78.28,2015-06-01 18:00:00,95.0
19,3642,Delhi,2015-06-01,19:00:00,47.5,132.75,40.13,90.91,136.79,31.83,4.18,10.04,64.18,1.92,6.82,2.26,91.71,2015-06-01 19:00:00,91.4
20,3643,Delhi,2015-06-01,20:00:00,57.36,184.52,48.96,95.14,152.88,31.43,1.68,10.69,62.29,2.44,8.25,2.26,101.82,2015-06-01 20:00:00,73.7
21,3644,Delhi,2015-06-01,21:00:00,76.8,227.12,12.56,34.57,44.51,41.09,5.01,15.24,79.54,2.02,7.24,2.26,57.4,2015-06-01 21:00:00,80.6
22,3645,Delhi,2015-06-01,22:00:00,84.02,144.21,33.3,61.74,97.28,42.53,1.49,12.51,80.85,1.4,3.45,2.26,53.19,2015-06-01 22:00:00,80.7
23,3646,Delhi,2015-06-01,23:00:00,36.67,103.79,44.66,78.25,127.79,44.43,2.84,7.1,26.82,1.55,5.78,2.26,41.18,2015-06-01 23:00:00,80.8
24,3647,Delhi,2015-06-02,0:00:00,34.36,107.25,25.02,66.81,90.78,44.05,7.42,6.64,38.46,2.47,6.66,2.26,43.88,2015-06-02 0:00:00,84.2
25,3648,Delhi,2015-06-02,1:00:00,29.89,94.29,12.77,53.23,61.24,38.11,4.56,6.12,34.95,1.79,4.53,2.26,49.93,2015-06-02 1:00:00,87.8
26,3649,Delhi,2015-06-02,2:00:00,36.03,86.15,10.68,59.26,55.44,37.02,12.25,5.65,32.41,1.69,4.32,2.26,43.14,2015-06-02 2:00:00,84.5
27,3650,Delhi,2015-06-02,3:00:00,57.97,100.67,6.21,27.71,25.92,42.54,11.48,4.97,46.52,1.17,2.81,2.26,45.06,2015-06-02 3:00:00,82.4
