From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-06-04 0:00:00,39.92,79.19999999999999,5.38,160.54,51.51,10.72
2015-06-04 3:00:00,38.31,78.8,4.9,115.29,40.77,2.73
2015-06-04 6:00:00,52.12,79.35,6.72,147.62,61.07,2.52
2015-06-04 9:00:00,52.95,84.2,6.49,230.5,63.55,4.13
2015-06-04 12:00:00,67.21,93.2,3.49,303.41,65.71,1.68
2015-06-04 15:00:00,82.87,97.0,7.33,153.42,37.3,5.1
2015-06-04 18:00:00,80.24,96.8,4.8,109.62,42.51,3.3
2015-06-04 21:00:00,76.07,91.4,7.05,169.22,108.92,4.8
2015-06-05 0:00:00,84.4,87.55,6.66,228.22,93.76,3.13
2015-06-05 3:00:00,75.48,82.4,3.04,217.28,81.59,9.24
2015-06-05 6:00:00,55.0,82.4,8.53,247.33,107.12,15.06
2015-06-05 9:00:00,65.3,89.5,3.35,244.0,89.08,20.43
2015-06-05 12:00:00,24.0,97.3,3.55,241.0,33.92,14.32
2015-06-05 15:00:00,38.0,98.275,2.24,241.375,59.08,7.49
2015-06-05 18:00:00,51.33,98.6,2.1,241.328125,30.83,3.93
2015-06-05 21:00:00,41.5,93.2,4.81,241.333984375,40.58,8.48
2015-06-06 0:00:00,40.58,91.4,6.26,241.333251953125,27.17,13.5
2015-06-06 3:00:00,20.92,86.0,5.66,241.3333435058593,43.92,9.8
2015-06-06 6:00:00,16.0,84.2,6.74,241.3333320617676,39.25,7.62
2015-06-06 9:00:00,17.67,91.4,7.4,241.33333349227905,40.5,13.75
2015-06-06 12:00:00,30.67,98.6,7.89,241.33333331346512,37.92,10.36
2015-06-06 15:00:00,43.75,98.48749999999998,8.18,241.3333333358169,31.33,24.13
2015-06-06 18:00:00,62.18,98.5015625,7.75,60.83,27.46,7.67
2015-06-06 21:00:00,56.29,96.8,8.02,124.33,96.31,4.68
2015-06-07 0:00:00,67.34,91.4,9.45,200.67,95.12,7.09
2015-06-07 3:00:00,45.91,87.8,8.04,168.77,85.68,4.14
2015-06-07 6:00:00,57.62,86.0,11.71,176.67,76.07,7.81
2015-06-07 9:00:00,108.12,96.8,9.96,241.67,95.98,2.32
2015-06-07 12:00:00,87.38,94.8125,6.37,174.32,47.77,0.93
2015-06-07 15:00:00,84.87,95.0609375,11.11,165.28,44.28,0.98
2015-06-07 18:00:00,79.56,95.0298828125,6.75,121.39,62.86,0.98
2015-06-07 21:00:00,119.27,98.6,10.25,230.9,120.15,1.74
2015-06-08 0:00:00,89.53,93.2,20.62,236.22,136.15,2.95
2015-06-08 3:00:00,93.98,89.6,5.07,240.33,122.34,0.94
2015-06-08 6:00:00,74.29,87.8,15.71,304.22,125.03,1.35
2015-06-08 9:00:00,97.97,94.15,7.01,231.66,126.18,1.2
2015-06-08 12:00:00,114.08,94.50625,12.81,168.28,65.12,1.12
2015-06-08 15:00:00,92.62,94.46171875,9.44,226.02,62.25,1.06
2015-06-08 18:00:00,78.12,94.46728515625,8.1,207.69,63.81,1.14
2015-06-08 21:00:00,38.86,96.44182128906247,12.0,472.4,164.0,2.96
2015-06-09 0:00:00,15.16,95.6,10.96,805.8924999999999,160.42,2.88
2015-06-09 3:00:00,13.72,91.4,7.96,363.0,101.27,0.8
2015-06-09 6:00:00,15.49,93.2,6.94,379.5,80.76,1.1
2015-06-09 9:00:00,26.31,98.6,7.95,467.0,107.29,1.55
2015-06-09 12:00:00,102.26,98.225,12.83,303.17,77.47,1.16
2015-06-09 15:00:00,116.24,98.271875,8.97,388.7,53.24,0.99
2015-06-09 18:00:00,75.39,98.266015625,7.07,299.58,39.77,0.9
2015-06-09 21:00:00,77.32,97.7,8.93,354.75,51.32,1.27
2015-06-10 0:00:00,81.03,95.0,8.49,344.08,36.45,5.43
2015-06-10 3:00:00,57.35,91.4,4.8,208.46,21.67,3.74
2015-06-10 6:00:00,55.91,87.8,5.97,151.1,29.86,3.75
2015-06-10 9:00:00,45.23,96.8,4.64,202.54,30.34,6.24
2015-06-10 12:00:00,49.62,95.9375,4.28,116.44,26.56,1.04
2015-06-10 15:00:00,59.13,96.0453125,7.5,96.94,23.65,0.9
2015-06-10 18:00:00,56.6,96.0318359375,6.02,106.67,30.8,1.25
2015-06-10 21:00:00,58.05,96.8,4.7,156.81,46.57,1.29
2015-06-11 0:00:00,50.71,93.2,5.27,132.56,26.74,0.94
2015-06-11 3:00:00,192.36,87.8,5.7,365.42,31.31,1.66
2015-06-11 6:00:00,278.63,87.8,5.42,427.66,22.15,1.16
2015-06-11 9:00:00,218.12,94.9,6.08,352.58,26.92,1.15
2015-06-11 12:00:00,81.01,97.85,19.22,297.22,22.01,1.04
2015-06-11 15:00:00,89.8,98.24375,4.44,180.33,25.01,1.24
2015-06-11 18:00:00,89.62,98.19453125,5.04,187.03,30.29,1.23
2015-06-11 21:00:00,84.44,98.6,5.4,219.86,74.45,1.46
2015-06-12 0:00:00,124.69,91.4,4.76,328.0,28.2,0.76
2015-06-12 3:00:00,71.44,87.8,4.15,154.22,20.36,1.18
2015-06-12 6:00:00,44.95,86.0,5.03,85.67,18.65,0.94
2015-06-12 9:00:00,40.17,95.0,6.0,89.83,28.06,1.08
2015-06-12 12:00:00,84.35,96.35,6.83,186.29,26.96,0.97
2015-06-12 15:00:00,77.28,96.18125,4.93,133.33,24.25,0.96
2015-06-12 18:00:00,77.08,96.20234375,4.93,229.88,44.99,1.03
2015-06-12 21:00:00,52.19,96.95,7.16,242.24,85.2,1.86
2015-06-13 0:00:00,67.56,98.6,8.74,205.28,92.1,2.57
2015-06-13 3:00:00,41.88,93.2,4.16,239.52,55.12,0.74
2015-06-13 6:00:00,38.25,91.4,4.35,112.0,31.84,0.94
2015-06-13 9:00:00,109.24,89.0,5.01,222.41,37.52,1.19
2015-06-13 12:00:00,58.6,96.8,5.34,114.55,37.42,1.07
2015-06-13 15:00:00,76.7,75.2,5.33,101.11,33.24,0.98
2015-06-13 18:00:00,31.84,80.6,5.56,85.11,57.16,2.72
2015-06-13 21:00:00,38.4,86.0,5.89,78.16,83.56,1.54
2015-06-14 0:00:00,78.84,82.4,6.22,154.83,81.39,2.1
2015-06-14 3:00:00,53.53,82.4,4.51,103.99,56.41,0.81
2015-06-14 6:00:00,63.43,71.75,5.66,121.62,38.9,0.93
2015-06-14 9:00:00,35.93,75.2,5.82,48.16,52.32,1.26
2015-06-14 12:00:00,34.56,80.6,5.22,53.54,52.15,1.29
2015-06-14 15:00:00,51.13,87.8,5.03,92.75,86.03,1.51
2015-06-14 18:00:00,81.5,87.8,4.86,175.38,67.7,1.59
2015-06-14 21:00:00,79.7,82.4,5.0,192.75,125.39,1.68
2015-06-15 0:00:00,65.06,81.05,6.56,185.29,74.7,1.49
2015-06-15 3:00:00,71.3,80.6,3.61,182.72,62.36,1.52
2015-06-15 6:00:00,118.79,82.4,4.65,137.55,74.25,1.33
2015-06-15 9:00:00,96.74,84.2,5.27,173.24,80.98,1.44
2015-06-15 12:00:00,54.6,92.05,22.36,216.1,64.04,1.36
2015-06-15 15:00:00,76.17,98.6,4.96,138.12,48.33,1.34
2015-06-15 18:00:00,99.8,93.2,5.46,282.27,70.92,1.53
2015-06-15 21:00:00,65.48,89.6,5.7,290.98,106.2,2.36
2015-06-16 0:00:00,94.27,87.8,9.2,204.83,114.88,3.52
