,index,City,Date,Time,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,O3P24,Datetime,Temperature
0,1415,Delhi,2015-03-01,0:00:00,126.92,324.37,11.29,16.39,32.72,19.32,12.68,7.83,43.36,3.2,11.4,22.52,22.3,2015-03-01 0:00:00,68.0
1,1416,Delhi,2015-03-01,1:00:00,118.55,261.18,16.74,23.74,38.39,16.22,16.08,14.17,34.65,4.45,16.8,2.27,23.39,2015-03-01 1:00:00,68.0
2,1417,Delhi,2015-03-01,2:00:00,153.2,241.59,16.16,32.74,37.44,20.5,18.55,19.0,32.16,3.69,12.06,3.5,23.82,2015-03-01 2:00:00,67.2
3,1418,Delhi,2015-03-01,3:00:00,105.68,197.98,18.25,37.09,39.55,31.88,14.52,21.5,25.88,4.18,12.36,4.31,23.95,2015-03-01 3:00:00,69.8
4,1419,Delhi,2015-03-01,4:00:00,127.93,133.55,7.66,37.54,21.7,5.25,13.35,32.33,24.1,2.15,6.27,1.39,23.95,2015-03-01 4:00:00,68.0
5,1420,Delhi,2015-03-01,5:00:00,117.08,117.3,6.2,39.87,13.89,7.38,16.87,34.17,23.46,0.67,2.4,0.18,25.2,2015-03-01 5:00:00,64.5
6,1421,Delhi,2015-03-01,6:00:00,100.5,191.55,6.69,31.73,15.11,13.83,8.23,20.0,24.26,0.74,2.73,22.28,25.26,2015-03-01 6:00:00,60.8
7,1422,Delhi,2015-03-01,7:00:00,69.91,88.29,7.82,33.15,15.44,13.5,12.2,16.83,17.25,0.55,1.87,0.0,25.85,2015-03-01 7:00:00,60.8
8,1423,Delhi,2015-03-01,8:00:00,111.61,232.49,5.66,32.79,13.68,8.37,13.33,15.17,17.56,0.7,1.93,0.65,23.69,2015-03-01 8:00:00,60.6
9,1424,Delhi,2015-03-01,9:00:00,86.61,93.98,6.19,33.93,14.76,10.81,11.7,28.17,17.22,0.82,2.38,0.0,20.38,2015-03-01 9:00:00,59.0
