From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-03-04 0:00:00,25.34,59.0,6.25,150.57,21.73,10.38
2015-03-04 3:00:00,24.31,55.4,2.75,128.31,27.62,13.01
2015-03-04 6:00:00,19.49,51.8,3.5,159.26,24.17,11.24
2015-03-04 9:00:00,21.9,55.4,2.75,149.9,18.87,6.16
2015-03-04 12:00:00,21.87,69.8,2.0,112.9,19.47,11.43
2015-03-04 15:00:00,23.81,73.4,7.0,120.07,24.59,9.16
2015-03-04 18:00:00,33.5,68.0,11.17,91.62,23.69,7.98
2015-03-04 21:00:00,35.1,62.6,4.0,131.92,26.26,11.22
2015-03-05 0:00:00,29.05,59.0,1.75,192.12,29.38,10.64
2015-03-05 3:00:00,28.53,55.4,4.0,199.77,37.77,12.5
2015-03-05 6:00:00,30.71,53.6,4.75,213.99,34.64,8.18
2015-03-05 9:00:00,25.8,62.6,6.75,227.28,27.74,9.54
2015-03-05 12:00:00,26.42,73.4,6.75,115.51,23.25,7.59
2015-03-05 15:00:00,47.24,77.0,15.0,129.2,29.71,7.24
2015-03-05 18:00:00,34.05,73.4,5.5,120.04,26.17,9.63
2015-03-05 21:00:00,34.13,64.4,3.67,178.26,37.27,10.8
2015-03-06 0:00:00,48.8,60.8,4.17,425.8,35.21,9.02
2015-03-06 3:00:00,35.2,60.5,6.83,410.94,38.63,18.18
2015-03-06 6:00:00,21.39,60.8,12.17,105.9,41.33,14.56
2015-03-06 9:00:00,22.25,66.2,9.33,127.01,24.17,4.24
2015-03-06 12:00:00,30.47,77.0,4.33,82.32,16.61,5.82
2015-03-06 15:00:00,36.35,80.6,3.17,93.66,16.94,11.35
2015-03-06 18:00:00,40.5,73.4,2.67,94.47,14.42,9.6
2015-03-06 21:00:00,29.3,69.8,1.67,68.48,14.41,6.33
2015-03-07 0:00:00,27.53,66.2,2.0,83.55,15.51,7.07
2015-03-07 3:00:00,19.85,62.6,3.33,69.91,17.26,10.81
2015-03-07 6:00:00,19.47,57.35,5.17,95.79,16.92,8.2
2015-03-07 9:00:00,20.14,66.2,4.0,92.3,17.26,6.88
2015-03-07 12:00:00,24.72,78.8,6.67,145.83,24.43,10.51
2015-03-07 15:00:00,26.84,77.0,12.17,97.54,28.62,14.23
2015-03-07 18:00:00,23.34,66.2,6.0,79.19,19.17,7.77
2015-03-07 21:00:00,25.31,62.6,5.25,73.89,14.27,6.46
2015-03-08 0:00:00,18.26,60.8,2.75,39.67,18.37,8.67
2015-03-08 3:00:00,17.64,59.0,2.25,60.6,19.3,10.21
2015-03-08 6:00:00,17.67,59.0,3.5,91.34,26.45,5.83
2015-03-08 9:00:00,16.72,64.4,3.0,82.81,20.68,7.34
2015-03-08 12:00:00,21.73,71.6,3.0,97.98,19.53,9.24
2015-03-08 15:00:00,23.37,75.2,5.0,127.41,23.13,9.66
2015-03-08 18:00:00,25.43,69.8,6.67,90.59,19.18,8.47
2015-03-08 21:00:00,24.82,66.2,6.83,81.12,16.67,8.4
2015-03-09 0:00:00,21.02,64.6,5.67,92.15,20.49,9.39
2015-03-09 3:00:00,21.41,59.0,7.5,91.7,18.64,10.95
2015-03-09 6:00:00,16.61,57.2,3.67,99.36,23.06,10.8
2015-03-09 9:00:00,18.72,62.6,2.83,111.26,14.8,7.94
2015-03-09 12:00:00,23.78,71.6,2.67,169.17,16.21,10.53
2015-03-09 15:00:00,28.53,73.4,7.17,124.8,19.72,10.62
2015-03-09 18:00:00,30.75,68.0,3.17,118.47,16.74,6.6
2015-03-09 21:00:00,25.61,60.8,2.0,96.66,15.17,6.77
2015-03-10 0:00:00,24.33,59.0,1.83,160.29,18.8,5.87
2015-03-10 3:00:00,21.19,51.8,3.0,164.17,19.94,6.66
2015-03-10 6:00:00,20.47,48.2,2.5,143.25,16.58,9.09
2015-03-10 9:00:00,19.56,55.4,3.33,173.05,17.51,7.59
2015-03-10 12:00:00,24.56,66.2,3.33,150.61,17.86,7.59
2015-03-10 15:00:00,32.85,75.2,6.33,144.95,20.79,10.82
2015-03-10 18:00:00,33.22,69.8,4.83,163.83,17.74,5.2
2015-03-10 21:00:00,31.18,62.6,4.0,135.11,18.03,7.18
