,index,City,Date,Time,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,O3P24,Datetime,Temperature
0,0,Delhi,2015-01-01,1:00:00,454.58,935.18,81.52,41.78,187.66,27.54,9.29,3.41,54.94,25.24,58.57,13.8,60.05,2015-01-01 1:00:00,48.4
1,1,Delhi,2015-01-01,2:00:00,440.44,,70.8,43.46,176.83,27.72,13.28,3.88,50.53,23.1,49.37,15.63,62.0,2015-01-01 2:00:00,48.4
2,2,Delhi,2015-01-01,3:00:00,409.09,,132.46,41.19,141.02,28.94,29.67,2.83,19.33,19.04,38.94,17.18,2.25,2015-01-01 3:00:00,48.3
3,3,Delhi,2015-01-01,4:00:00,436.12,956.085,84.78,39.55,102.84,29.3,21.76,4.33,20.08,13.99,27.53,16.82,2.75,2015-01-01 4:00:00,49.4
4,4,Delhi,2015-01-01,5:00:00,415.88,976.99,60.24,37.41,80.12,30.84,26.19,6.17,16.0,11.14,21.99,14.29,59.0,2015-01-01 5:00:00,50.5
5,5,Delhi,2015-01-01,6:00:00,384.16,862.23,59.84,32.06,78.34,30.71,11.04,7.33,12.33,10.7,20.85,12.42,65.89,2015-01-01 6:00:00,50.0
6,6,Delhi,2015-01-01,7:00:00,344.44,731.83,66.55,30.97,84.67,30.64,8.39,8.0,58.67,10.15,19.8,10.35,39.52,2015-01-01 7:00:00,51.8
7,7,Delhi,2015-01-01,8:00:00,337.98,725.74,72.93,26.83,90.44,28.1,7.89,9.0,13.42,11.53,21.53,10.24,25.72,2015-01-01 8:00:00,52.0
8,8,Delhi,2015-01-01,9:00:00,285.22,656.93,69.37,26.22,92.62,31.46,4.25,6.67,55.3,12.1,21.25,9.01,19.7,2015-01-01 9:00:00,55.5
9,9,Delhi,2015-01-01,10:00:00,258.42,525.54,48.56,27.7,80.05,32.75,15.31,6.67,54.28,10.03,18.83,7.45,25.53,2015-01-01 10:00:00,59.0
10,10,Delhi,2015-01-01,11:00:00,265.62,548.82,31.17,27.13,64.54,33.28,11.43,6.0,55.49,8.73,16.36,7.83,33.83,2015-01-01 11:00:00,63.6
11,11,Delhi,2015-01-01,12:00:00,260.09,522.93,28.5,26.91,71.47,31.74,15.19,5.5,53.17,8.97,18.85,7.43,19.41,2015-01-01 12:00:00,64.4
12,12,Delhi,2015-01-01,13:00:00,222.01,408.62,20.84,27.59,68.87,31.98,20.09,5.33,43.9,6.12,8.18,5.7,17.6,2015-01-01 13:00:00,68.0
13,13,Delhi,2015-01-01,14:00:00,202.14,340.28,17.11,27.83,63.27,33.77,21.32,6.0,47.54,4.56,7.71,5.14,17.24,2015-01-01 14:00:00,68.8
