From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-01-01 1:00:00,54.94,48.4,3.41,935.18,41.78,9.29
2015-01-01 4:00:00,20.08,49.4,4.33,956.085,39.55,21.76
2015-01-01 7:00:00,58.67,51.8,8.0,731.83,30.97,8.39
2015-01-01 10:00:00,54.28,59.0,6.67,525.54,27.7,15.31
2015-01-01 13:00:00,43.9,68.0,5.33,408.62,27.59,20.09
2015-01-01 16:00:00,34.35,69.8,12.33,340.66,37.08,15.24
2015-01-01 19:00:00,49.12,62.875,21.5,600.95,47.76,16.67
2015-01-01 22:00:00,48.34,55.4,12.0,732.59,43.87,13.66
2015-01-02 1:00:00,60.05,55.4,5.17,806.07,44.46,27.2
2015-01-02 4:00:00,2.75,55.4,7.67,797.09,40.35,0.56
2015-01-02 7:00:00,39.52,57.75,13.5,301.48,40.43,4.53
2015-01-02 10:00:00,25.53,59.0,10.33,41.87,28.8,6.42
2015-01-02 13:00:00,17.6,59.05,8.67,28.97,29.68,17.43
2015-01-02 16:00:00,30.36,59.0,5.0,64.7,27.68,14.06
2015-01-02 19:00:00,17.35,57.1,1.75,79.18,27.32,8.38
2015-01-02 22:00:00,19.85,57.1,0.75,87.2,27.71,9.61
2015-01-03 1:00:00,17.05,57.2,2.0,79.21,25.28,7.79
2015-01-03 4:00:00,16.87,57.2,1.83,58.67,24.08,19.74
2015-01-03 7:00:00,22.05,57.2,1.17,141.42,24.92,13.13
2015-01-03 10:00:00,16.98,59.05,2.75,77.69,22.52,11.73
2015-01-03 13:00:00,20.93,62.6,3.0,138.99,23.03,5.62
2015-01-03 16:00:00,14.38,60.8,2.25,75.63,22.48,10.46
2015-01-03 19:00:00,24.46,58.5,3.87,240.96,46.15,9.5
2015-01-03 22:00:00,26.38,55.4,3.96,237.23,47.2,8.23
2015-01-04 1:00:00,36.4,53.6,4.5,392.3,54.18,14.54
2015-01-04 4:00:00,26.23,51.8,4.28,246.69,33.62,17.77
2015-01-04 7:00:00,20.08,53.6,5.62,207.29,36.99,10.77
2015-01-04 10:00:00,15.0,57.2,5.66,118.18,33.56,10.45
2015-01-04 13:00:00,25.02,62.6,5.75,176.21,32.14,8.98
2015-01-04 16:00:00,18.12,64.4,4.28,193.73,36.43,12.81
2015-01-04 19:00:00,30.98,56.45,4.5,319.24,42.58,12.01
2015-01-04 22:00:00,37.65,50.0,3.9,337.61,36.78,4.75
2015-01-05 1:00:00,21.17,50.0,2.68,227.05,38.06,14.02
2015-01-05 4:00:00,23.78,48.2,3.61,182.68,28.06,12.38
2015-01-05 7:00:00,17.68,46.4,2.8,212.68,27.01,7.28
2015-01-05 10:00:00,20.22,53.5,3.41,220.64,31.95,8.05
2015-01-05 13:00:00,21.16,64.4,2.87,272.29,32.4,10.63
2015-01-05 16:00:00,23.83,66.2,2.98,215.78,36.34,9.31
2015-01-05 19:00:00,28.89,57.2,3.02,223.8,46.9,6.63
2015-01-05 22:00:00,32.26,53.6,3.12,223.53,43.07,6.35
2015-01-06 1:00:00,22.65,50.0,3.28,263.23,42.32,6.75
2015-01-06 4:00:00,24.54,48.2,4.36,225.35,38.51,12.8
2015-01-06 7:00:00,20.86,48.2,2.96,214.46,30.73,8.18
2015-01-06 10:00:00,27.09,50.0,3.9,219.28,35.83,6.97
2015-01-06 13:00:00,26.28,57.2,3.26,265.16,36.86,7.3
2015-01-06 16:00:00,27.44,59.0,3.64,252.73,36.89,9.63
2015-01-06 19:00:00,25.09,53.6,3.56,255.59,36.05,6.22
2015-01-06 22:00:00,33.7,51.8,4.24,268.07,38.45,7.42
2015-01-07 1:00:00,29.02,50.0,4.19,354.3,39.42,13.97
2015-01-07 4:00:00,30.89,48.2,5.49,402.4,38.79,7.6
2015-01-07 7:00:00,25.98,42.8,5.04,331.61,33.96,10.27
2015-01-07 10:00:00,25.76,48.2,6.15,416.38,37.3,10.26
2015-01-07 13:00:00,26.04,51.8,5.39,403.81,36.69,14.15
2015-01-07 16:00:00,24.96,53.6,7.85,360.91,39.91,9.46
2015-01-07 19:00:00,27.76,50.75,5.18,387.55,42.07,11.38
2015-01-07 22:00:00,29.96,48.2,5.61,350.17,49.0,6.29
2015-01-08 1:00:00,30.01,46.55,3.0,404.94,45.94,14.44
2015-01-08 4:00:00,26.08,44.6,4.84,348.04,37.64,19.4
2015-01-08 7:00:00,23.03,46.4,3.32,387.05,33.9,9.18
2015-01-08 10:00:00,22.14,46.4,4.18,196.74,38.23,14.82
2015-01-08 13:00:00,24.07,50.0,2.97,341.07,42.45,11.7
2015-01-08 16:00:00,27.3,50.0,2.65,345.34,49.19,12.29
2015-01-08 19:00:00,43.03,48.2,2.73,347.43,58.58,5.7
2015-01-08 22:00:00,41.75,46.4,3.18,420.59,45.6,10.5
2015-01-09 1:00:00,49.47,46.4,3.78,371.22,37.7,16.2
2015-01-09 4:00:00,23.61,44.6,4.45,329.92,34.71,10.17
2015-01-09 7:00:00,26.82,44.6,3.78,319.46,31.64,9.9
2015-01-09 10:00:00,25.84,47.7,3.26,257.36,37.63,11.1
2015-01-09 13:00:00,26.43,53.6,2.59,337.16,43.48,7.96
2015-01-09 16:00:00,39.8,57.2,2.5,502.4,41.85,14.17
2015-01-09 19:00:00,36.82,50.0,3.67,513.02,39.78,9.41
2015-01-09 22:00:00,51.47,48.2,3.92,694.59,40.86,9.14
2015-01-10 1:00:00,38.58,48.2,5.23,469.38,41.03,12.09
2015-01-10 4:00:00,38.18,46.4,7.34,400.72,38.0,10.76
2015-01-10 7:00:00,40.24,46.4,6.59,367.15,32.76,7.42
